Serotype,Region,Subregion,Country,Admin.level.1,Latitude,Longitude,Animal.type,Species,Report.date
H5N5,Asia,Eastern Asia,Japan,Iwate,39.082,141.7092,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.70356,120.24432,Domestic,Chicken,9/04/2024
H5N5,Asia,Eastern Asia,Japan,Iwate,39.082,141.7092,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.848333,120.308889,Domestic,Chicken,6/03/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.859499,120.279599,Domestic,Chicken,9/04/2024
H5N5,Asia,Eastern Asia,Japan,Iwate,39.082,141.7092,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N5,Asia,Eastern Asia,Japan,Iwate,39.082,141.7092,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.686299,120.264499,Domestic,Chicken,9/04/2024
H5N1,Asia,Southern Asia,India,Maharashtra,21.16137,79.04288,Domestic,Unspecified Bird,10/04/2024
H5N5,Asia,Eastern Asia,Japan,Iwate,39.082,141.7092,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.688737,120.267855,Domestic,Chicken,9/04/2024
H5N1,Asia,South-Eastern Asia,Philippines,Region III (Central Luzon),15.035035,120.916621,Domestic,Unspecified Bird,4/04/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N1,Asia,Eastern Asia,Japan,Oosaka,34.5739,135.4828,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.691062,120.362037,Domestic,Chicken,29/02/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.666515,120.357932,Domestic,Chicken,9/04/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.183303,120.311763,Wild,Grey Heron:ardea Cinerea(Ardeidae),9/04/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.166889,120.178472,Domestic,Chicken,24/02/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.20097,120.19447,Domestic,Chicken,9/04/2024
H5N5,Asia,Eastern Asia,Japan,Aiti,34.8963,136.8548,Wild,Common Pochard (Aythya Ferina),14/03/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.966667,120.966667,Domestic,Chicken,23/02/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,22.675494,120.491414,Domestic,Chicken,23/02/2024
H5N1,Asia,South-Eastern Asia,Philippines,Cordillera Administrative region (CAR),17.434816,121.393974,Domestic,Unspecified Bird,4/04/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,24.04647,120.92369,Domestic,Chicken,9/04/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,24.04226,120.90899,Domestic,Chicken,9/04/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,42.496,142.1287,Wild,Mountain Hawk-Eagle ,14/03/2024
H5N1,Asia,Eastern Asia,Japan,Oosaka,34.5739,135.4828,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,42.483333,142.066667,Wild,Mountain Hawk-Eagle ,28/02/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.20087,120.19519,Domestic,Chicken,9/04/2024
H5N1,Asia,Eastern Asia,Japan,Oosaka,34.5739,135.4828,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,22.737119,120.539736,Domestic,Chicken,9/04/2024
H5N1,Asia,Eastern Asia,Japan,Oosaka,34.5739,135.4828,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N1,Asia,Eastern Asia,Japan,Isikawa,36.8939,136.779,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
